pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,offset1_wn16,offset2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def,wn_domain_feature
v,fit.v.6,fit.v.2,match.v.1,fit.v.2,01813355-v,01815328-v,"be compatible, similar or consistent; coincide in their characteristics","be compatible, similar or consistent; coincide in their characteristics",be the right size or shape; fit correctly or as desired,be the right size or shape; fit correctly or as desired,1.0
v,fit.v.6,fit.v.4,match.v.1,fit.v.4,01813355-v,00207661-v,"be compatible, similar or consistent; coincide in their characteristics","be compatible, similar or consistent; coincide in their characteristics",make fit,make fit,1.0
v,fit.v.6,fit.v.5,match.v.1,fit.v.5,01813355-v,00207305-v,"be compatible, similar or consistent; coincide in their characteristics","be compatible, similar or consistent; coincide in their characteristics",insert or adjust several objects or people,insert or adjust several objects or people,1.0
v,fit.v.6,fit.v.7,match.v.1,fit.v.7,01813355-v,01872318-v,"be compatible, similar or consistent; coincide in their characteristics","be compatible, similar or consistent; coincide in their characteristics",conform to some shape or size,conform to some shape or size,1.0
v,fit.v.9,fit.v.2,match.v.5,fit.v.2,00319306-v,01815328-v,make correspond or harmonize,make match or correspond or harmonize,be the right size or shape; fit correctly or as desired,be the right size or shape; fit correctly or as desired,1.0
v,fit.v.9,fit.v.4,match.v.5,fit.v.4,00319306-v,00207661-v,make correspond or harmonize,make match or correspond or harmonize,make fit,make fit,1.0
v,fit.v.9,fit.v.5,match.v.5,fit.v.5,00319306-v,00207305-v,make correspond or harmonize,make match or correspond or harmonize,insert or adjust several objects or people,insert or adjust several objects or people,1.0
v,fit.v.9,fit.v.7,match.v.5,fit.v.7,00319306-v,01872318-v,make correspond or harmonize,make match or correspond or harmonize,conform to some shape or size,conform to some shape or size,1.0
v,fit.v.2,fit.v.4,fit.v.2,fit.v.4,01815328-v,00207661-v,be the right size or shape; fit correctly or as desired,be the right size or shape; fit correctly or as desired,make fit,make fit,1.0
v,fit.v.2,fit.v.5,fit.v.2,fit.v.5,01815328-v,00207305-v,be the right size or shape; fit correctly or as desired,be the right size or shape; fit correctly or as desired,insert or adjust several objects or people,insert or adjust several objects or people,1.0
v,fit.v.2,fit.v.7,fit.v.2,fit.v.7,01815328-v,01872318-v,be the right size or shape; fit correctly or as desired,be the right size or shape; fit correctly or as desired,conform to some shape or size,conform to some shape or size,1.0
v,fit.v.4,fit.v.5,fit.v.4,fit.v.5,00207661-v,00207305-v,make fit,make fit,insert or adjust several objects or people,insert or adjust several objects or people,1.0
v,fit.v.4,fit.v.7,fit.v.4,fit.v.7,00207661-v,01872318-v,make fit,make fit,conform to some shape or size,conform to some shape or size,1.0
v,fit.v.5,fit.v.7,fit.v.5,fit.v.7,00207305-v,01872318-v,insert or adjust several objects or people,insert or adjust several objects or people,conform to some shape or size,conform to some shape or size,1.0
n,power.n.2,power.n.1,power.n.2,power.n.1,07795077-n,04041746-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),possession of controlling influence,possession of controlling influence,1.0
n,power.n.2,power.n.3,power.n.2,ability.n.2,07795077-n,04349777-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,1.0
n,power.n.2,power.n.5,power.n.2,office.n.4,07795077-n,10048361-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,1.0
n,power.n.2,power.n.7,power.n.2,might.n.1,07795077-n,03928263-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),physical strength,physical strength,1.0
n,power.n.2,power.n.4,power.n.2,world_power.n.1,07795077-n,06078854-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,1.0
n,power.n.2,power.n.6,power.n.2,power.n.6,07795077-n,07491804-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.2,power.n.9,power.n.2,baron.n.3,07795077-n,07102147-n,(physics) the rate of doing work; measured in watts (= joules/second),(physics) the rate of doing work; measured in watts (= joules/second),a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.1,power.n.3,power.n.1,ability.n.2,04041746-n,04349777-n,possession of controlling influence,possession of controlling influence,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,1.0
n,power.n.1,power.n.5,power.n.1,office.n.4,04041746-n,10048361-n,possession of controlling influence,possession of controlling influence,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,1.0
n,power.n.1,power.n.7,power.n.1,might.n.1,04041746-n,03928263-n,possession of controlling influence,possession of controlling influence,physical strength,physical strength,1.0
n,power.n.1,power.n.4,power.n.1,world_power.n.1,04041746-n,06078854-n,possession of controlling influence,possession of controlling influence,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,1.0
n,power.n.1,power.n.6,power.n.1,power.n.6,04041746-n,07491804-n,possession of controlling influence,possession of controlling influence,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.1,power.n.9,power.n.1,baron.n.3,04041746-n,07102147-n,possession of controlling influence,possession of controlling influence,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.3,power.n.5,ability.n.2,office.n.4,04349777-n,10048361-n,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,1.0
n,power.n.3,power.n.7,ability.n.2,might.n.1,04349777-n,03928263-n,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,physical strength,physical strength,1.0
n,power.n.3,power.n.4,ability.n.2,world_power.n.1,04349777-n,06078854-n,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,1.0
n,power.n.3,power.n.6,ability.n.2,power.n.6,04349777-n,07491804-n,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.3,power.n.9,ability.n.2,baron.n.3,04349777-n,07102147-n,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.5,power.n.7,office.n.4,might.n.1,10048361-n,03928263-n,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,physical strength,physical strength,1.0
n,power.n.5,power.n.4,office.n.4,world_power.n.1,10048361-n,06078854-n,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,1.0
n,power.n.5,power.n.6,office.n.4,power.n.6,10048361-n,07491804-n,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.5,power.n.9,office.n.4,baron.n.3,10048361-n,07102147-n,(of a government or government official) holding an office means being in power,(of a government or government official) holding an office means being in power,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.7,power.n.4,might.n.1,world_power.n.1,03928263-n,06078854-n,physical strength,physical strength,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,1.0
n,power.n.7,power.n.6,might.n.1,power.n.6,03928263-n,07491804-n,physical strength,physical strength,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.7,power.n.9,might.n.1,baron.n.3,03928263-n,07102147-n,physical strength,physical strength,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.4,power.n.6,world_power.n.1,power.n.6,06078854-n,07491804-n,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,1.0
n,power.n.4,power.n.9,world_power.n.1,baron.n.3,06078854-n,07102147-n,a state powerful enough to influence events throughout the world,a state powerful enough to influence events throughout the world,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
n,power.n.6,power.n.9,power.n.6,baron.n.3,07491804-n,07102147-n,one possessing or exercising power or influence or authority,one possessing or exercising power or influence or authority:,a very wealthy or powerful businessman,a very wealthy or powerful businessman:,1.0
v,mention.v.1,mention.v.2,mention.v.1,note.v.1,00692561-v,00689564-v,make reference to,make reference to:,make mention of,make mention of,1.0
v,mention.v.1,mention.v.3,mention.v.1,mention.v.3,00692561-v,00691869-v,make reference to,make reference to:,commend,"cite, as for an outstanding achievement",1.0
v,mention.v.2,mention.v.3,note.v.1,mention.v.3,00689564-v,00691869-v,make mention of,make mention of,commend,"cite, as for an outstanding achievement",1.0
v,avoid.v.5,avoid.v.1,invalidate.v.1,avoid.v.1,01688749-v,00551242-v,declare invalid,declare invalid,stay clear from; keep away from; keep out of the way of someone or something,stay clear from; keep away from; keep out of the way of someone or something,1.0
v,avoid.v.5,avoid.v.2,invalidate.v.1,debar.v.2,01688749-v,01671878-v,declare invalid,declare invalid,prevent the occurrence of; prevent from happening,prevent the occurrence of; prevent from happening,1.0
v,avoid.v.5,avoid.v.3,invalidate.v.1,refrain_from.v.1,01688749-v,01678404-v,declare invalid,declare invalid,refrain from doing something,refrain from doing something,1.0
v,avoid.v.5,avoid.v.4,invalidate.v.1,keep_off.v.1,01688749-v,00808946-v,declare invalid,declare invalid,refrain from certain foods or beverages,refrain from certain foods of beverages,1.0
v,avoid.v.1,avoid.v.2,avoid.v.1,debar.v.2,00551242-v,01671878-v,stay clear from; keep away from; keep out of the way of someone or something,stay clear from; keep away from; keep out of the way of someone or something,prevent the occurrence of; prevent from happening,prevent the occurrence of; prevent from happening,1.0
v,avoid.v.1,avoid.v.3,avoid.v.1,refrain_from.v.1,00551242-v,01678404-v,stay clear from; keep away from; keep out of the way of someone or something,stay clear from; keep away from; keep out of the way of someone or something,refrain from doing something,refrain from doing something,1.0
v,avoid.v.1,avoid.v.4,avoid.v.1,keep_off.v.1,00551242-v,00808946-v,stay clear from; keep away from; keep out of the way of someone or something,stay clear from; keep away from; keep out of the way of someone or something,refrain from certain foods or beverages,refrain from certain foods of beverages,1.0
v,avoid.v.2,avoid.v.3,debar.v.2,refrain_from.v.1,01671878-v,01678404-v,prevent the occurrence of; prevent from happening,prevent the occurrence of; prevent from happening,refrain from doing something,refrain from doing something,1.0
v,avoid.v.2,avoid.v.4,debar.v.2,keep_off.v.1,01671878-v,00808946-v,prevent the occurrence of; prevent from happening,prevent the occurrence of; prevent from happening,refrain from certain foods or beverages,refrain from certain foods of beverages,1.0
v,avoid.v.3,avoid.v.4,refrain_from.v.1,keep_off.v.1,01678404-v,00808946-v,refrain from doing something,refrain from doing something,refrain from certain foods or beverages,refrain from certain foods of beverages,1.0
v,appear.v.6,appear.v.7,appear.v.6,appear.v.7,01178434-v,01772313-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.","present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority",1.0
v,appear.v.6,appear.v.1,appear.v.6,look.v.2,01178434-v,01460069-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.",give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,1.0
v,appear.v.6,appear.v.4,appear.v.6,appear.v.4,01178434-v,01461214-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.","seem to be true, probable, or apparent","seem to be true, probable, or apparent",1.0
v,appear.v.6,appear.v.2,appear.v.6,appear.v.2,01178434-v,00293860-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.",come into sight or view,come into sight or view,1.0
v,appear.v.6,appear.v.3,appear.v.6,appear.v.3,01178434-v,00296448-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.",be issued or published,"be issued or published, as of news in a paper, a book, or a movie",1.0
v,appear.v.6,appear.v.5,appear.v.6,appear.v.5,01178434-v,00295748-v,"appear as a character on stage or appear in a play, etc.","appear as a character on stage or appear in a play, etc.","come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
v,appear.v.7,appear.v.1,appear.v.7,look.v.2,01772313-v,01460069-v,"present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority",give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,1.0
v,appear.v.7,appear.v.4,appear.v.7,appear.v.4,01772313-v,01461214-v,"present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority","seem to be true, probable, or apparent","seem to be true, probable, or apparent",1.0
v,appear.v.7,appear.v.2,appear.v.7,appear.v.2,01772313-v,00293860-v,"present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority",come into sight or view,come into sight or view,1.0
v,appear.v.7,appear.v.3,appear.v.7,appear.v.3,01772313-v,00296448-v,"present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority",be issued or published,"be issued or published, as of news in a paper, a book, or a movie",1.0
v,appear.v.7,appear.v.5,appear.v.7,appear.v.5,01772313-v,00295748-v,"present oneself formally, as before a (judicial) authority","present oneself formally, as before a (judicial) authority","come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
v,appear.v.1,appear.v.4,look.v.2,appear.v.4,01460069-v,01461214-v,give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,"seem to be true, probable, or apparent","seem to be true, probable, or apparent",1.0
v,appear.v.1,appear.v.2,look.v.2,appear.v.2,01460069-v,00293860-v,give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,come into sight or view,come into sight or view,1.0
v,appear.v.1,appear.v.3,look.v.2,appear.v.3,01460069-v,00296448-v,give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,be issued or published,"be issued or published, as of news in a paper, a book, or a movie",1.0
v,appear.v.1,appear.v.5,look.v.2,appear.v.5,01460069-v,00295748-v,give a certain impression or have a certain outward aspect,give a certain impression or have a certain outward aspect,"come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
v,appear.v.4,appear.v.2,appear.v.4,appear.v.2,01461214-v,00293860-v,"seem to be true, probable, or apparent","seem to be true, probable, or apparent",come into sight or view,come into sight or view,1.0
v,appear.v.4,appear.v.3,appear.v.4,appear.v.3,01461214-v,00296448-v,"seem to be true, probable, or apparent","seem to be true, probable, or apparent",be issued or published,"be issued or published, as of news in a paper, a book, or a movie",1.0
v,appear.v.4,appear.v.5,appear.v.4,appear.v.5,01461214-v,00295748-v,"seem to be true, probable, or apparent","seem to be true, probable, or apparent","come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
v,appear.v.2,appear.v.3,appear.v.2,appear.v.3,00293860-v,00296448-v,come into sight or view,come into sight or view,be issued or published,"be issued or published, as of news in a paper, a book, or a movie",1.0
v,appear.v.2,appear.v.5,appear.v.2,appear.v.5,00293860-v,00295748-v,come into sight or view,come into sight or view,"come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
v,appear.v.3,appear.v.5,appear.v.3,appear.v.5,00296448-v,00295748-v,be issued or published,"be issued or published, as of news in a paper, a book, or a movie","come into being or existence, or appear on the scene","come into being or existence, or appear on the scene:",1.0
n,policy.n.3,policy.n.1,policy.n.3,policy.n.1,04897248-n,04991678-n,written contract or certificate of insurance,written contract or certificate of insurance,a line of argument rationalizing the course of action of a government,a line of argument rationalizing the course of action of a government,1.0
n,policy.n.3,policy.n.2,policy.n.3,policy.n.2,04897248-n,04536028-n,written contract or certificate of insurance,written contract or certificate of insurance,a plan of action adopted by an individual or social group,a plan of action adopted by an individual or social group,1.0
n,policy.n.1,policy.n.2,policy.n.1,policy.n.2,04991678-n,04536028-n,a line of argument rationalizing the course of action of a government,a line of argument rationalizing the course of action of a government,a plan of action adopted by an individual or social group,a plan of action adopted by an individual or social group,1.0
n,partnership.n.2,partnership.n.1,,partnership.n.1,04991678-n,06007961-n,a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal,a line of argument rationalizing the course of action of a government,the members of a business venture created by contract,the members of a business venture created by contract,1.0
n,partnership.n.2,partnership.n.3,,partnership.n.2,04991678-n,04899497-n,a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal,a line of argument rationalizing the course of action of a government,a contract between two or more persons who agree to pool talent and money and share profits or losses,a contract between two or more persons who agree to pool talent and money and share profits or losses,1.0
n,partnership.n.1,partnership.n.3,partnership.n.1,partnership.n.2,06007961-n,04899497-n,the members of a business venture created by contract,the members of a business venture created by contract,a contract between two or more persons who agree to pool talent and money and share profits or losses,a contract between two or more persons who agree to pool talent and money and share profits or losses,1.0
v,file.v.2,file.v.5,file.v.2,file.v.5,00951184-v,00677552-v,smooth with a file,smooth with a file,place in a container for keeping records,place in a file,1.0
v,file.v.2,file.v.1,file.v.2,file.v.1,00951184-v,00677641-v,smooth with a file,smooth with a file,record in a public office or in a court of law,register in a public office or in a court of law,1.0
v,file.v.2,file.v.4,file.v.2,charge.v.6,00951184-v,00589641-v,smooth with a file,smooth with a file,file a formal charge against,file a formal charge against,1.0
v,file.v.5,file.v.1,file.v.5,file.v.1,00677552-v,00677641-v,place in a container for keeping records,place in a file,record in a public office or in a court of law,register in a public office or in a court of law,1.0
v,file.v.5,file.v.4,file.v.5,charge.v.6,00677552-v,00589641-v,place in a container for keeping records,place in a file,file a formal charge against,file a formal charge against,1.0
v,file.v.1,file.v.4,file.v.1,charge.v.6,00677641-v,00589641-v,record in a public office or in a court of law,register in a public office or in a court of law,file a formal charge against,file a formal charge against,1.0
n,trauma.n.1,trauma.n.2,injury.n.1,,10257548-n,10257434-n,any physical damage to the body caused by violence or accident or fracture etc.,any physical damage to the body,an emotional wound or shock often having long-lasting effects,an emotional wound or shock often having long-lasting effects,1.0
v,affect.v.5,affect.v.4,affect.v.5,feign.v.1,01206630-v,00568049-v,have an emotional or cognitive impact upon,have an emotional or cognitive impact upon,make believe with the intent to deceive,make believe,1.0
v,affect.v.5,affect.v.1,affect.v.5,affect.v.1,01206630-v,00091848-v,have an emotional or cognitive impact upon,have an emotional or cognitive impact upon,have an effect upon,have an effect upon,1.0
v,affect.v.5,affect.v.2,affect.v.5,affect.v.2,01206630-v,00013620-v,have an emotional or cognitive impact upon,have an emotional or cognitive impact upon,act physically on; have an effect upon,act physically on; have an effect upon,1.0
v,affect.v.5,affect.v.3,affect.v.5,involve.v.1,01206630-v,01826476-v,have an emotional or cognitive impact upon,have an emotional or cognitive impact upon,connect closely and often incriminatingly,connect closely and often incriminatingly,1.0
v,affect.v.4,affect.v.1,feign.v.1,affect.v.1,00568049-v,00091848-v,make believe with the intent to deceive,make believe,have an effect upon,have an effect upon,1.0
v,affect.v.4,affect.v.2,feign.v.1,affect.v.2,00568049-v,00013620-v,make believe with the intent to deceive,make believe,act physically on; have an effect upon,act physically on; have an effect upon,1.0
v,affect.v.4,affect.v.3,feign.v.1,involve.v.1,00568049-v,01826476-v,make believe with the intent to deceive,make believe,connect closely and often incriminatingly,connect closely and often incriminatingly,1.0
v,affect.v.1,affect.v.2,affect.v.1,affect.v.2,00091848-v,00013620-v,have an effect upon,have an effect upon,act physically on; have an effect upon,act physically on; have an effect upon,1.0
v,affect.v.1,affect.v.3,affect.v.1,involve.v.1,00091848-v,01826476-v,have an effect upon,have an effect upon,connect closely and often incriminatingly,connect closely and often incriminatingly,1.0
v,affect.v.2,affect.v.3,affect.v.2,involve.v.1,00013620-v,01826476-v,act physically on; have an effect upon,act physically on; have an effect upon,connect closely and often incriminatingly,connect closely and often incriminatingly,1.0
v,concern.v.1,concern.v.2,refer.v.2,concern.v.2,01825574-v,01827420-v,have to do with or be relevant to,"be about; have to do with; be relevant to; refer, pertain, or relate to",be on the mind of,be on the mind of,1.0
v,stress.v.1,stress.v.3,stress.v.1,try.v.7,00685448-v,01226967-v,"to stress, single out as important","to stress, single out as important:",test the limits of,test the limits of,1.0
v,stress.v.1,stress.v.2,stress.v.1,,00685448-v,00665390-v,"to stress, single out as important","to stress, single out as important:",put stress on; utter with an accent,put stress on; utter with an accent,1.0
v,stress.v.3,stress.v.2,try.v.7,,01226967-v,00665390-v,test the limits of,test the limits of,put stress on; utter with an accent,put stress on; utter with an accent,1.0
v,link.v.1,link.v.2,associate.v.1,,00482838-v,00927388-v,make a logical or causal connection,make a logical or causal connection,"connect, fasten, or put together two or more pieces","connect, fasten, or put together two or more pieces",1.0
v,link.v.1,link.v.3,associate.v.1,connect.v.3,00482838-v,01789163-v,make a logical or causal connection,make a logical or causal connection,be or become joined or united or linked,be or become joined or united or linked,1.0
v,link.v.1,link.v.4,associate.v.1,yoke.v.2,00482838-v,01024407-v,make a logical or causal connection,make a logical or causal connection,link with or as with a yoke,link with or as with a yoke,1.0
v,link.v.2,link.v.3,,connect.v.3,00927388-v,01789163-v,"connect, fasten, or put together two or more pieces","connect, fasten, or put together two or more pieces",be or become joined or united or linked,be or become joined or united or linked,1.0
v,link.v.2,link.v.4,,yoke.v.2,00927388-v,01024407-v,"connect, fasten, or put together two or more pieces","connect, fasten, or put together two or more pieces",link with or as with a yoke,link with or as with a yoke,1.0
v,link.v.3,link.v.4,connect.v.3,yoke.v.2,01789163-v,01024407-v,be or become joined or united or linked,be or become joined or united or linked,link with or as with a yoke,link with or as with a yoke,1.0
n,type.n.2,type.n.3,character.n.5,type.n.3,07149819-n,06045841-n,a person of a specified kind (usually with many eccentricities),a person of a specified kind (usually with many eccentricities),(biology) the taxonomic group whose characteristics are used to define the next higher taxon,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,1.0
n,type.n.2,type.n.4,character.n.5,type.n.4,07149819-n,05112836-n,a person of a specified kind (usually with many eccentricities),a person of a specified kind (usually with many eccentricities),printed characters,printed characters,1.0
n,type.n.2,type.n.5,character.n.5,type.n.5,07149819-n,03556673-n,a person of a specified kind (usually with many eccentricities),a person of a specified kind (usually with many eccentricities),a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,a small block of metal bearing a raised character on one end; produces a printed character when inked and pressed on paper,1.0
n,type.n.2,type.n.1,character.n.5,type.n.1,07149819-n,04497251-n,a person of a specified kind (usually with many eccentricities),a person of a specified kind (usually with many eccentricities),a subdivision of a particular kind of thing,a subdivision of a particular kind of thing,1.0
n,type.n.2,type.n.6,character.n.5,type.n.6,07149819-n,05090011-n,a person of a specified kind (usually with many eccentricities),a person of a specified kind (usually with many eccentricities),all of the tokens of the same symbol,all of the tokens of the same symbol,1.0
n,type.n.3,type.n.4,type.n.3,type.n.4,06045841-n,05112836-n,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,printed characters,printed characters,1.0
n,type.n.3,type.n.5,type.n.3,type.n.5,06045841-n,03556673-n,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,a small block of metal bearing a raised character on one end; produces a printed character when inked and pressed on paper,1.0
n,type.n.3,type.n.1,type.n.3,type.n.1,06045841-n,04497251-n,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,a subdivision of a particular kind of thing,a subdivision of a particular kind of thing,1.0
n,type.n.3,type.n.6,type.n.3,type.n.6,06045841-n,05090011-n,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,(biology) the taxonomic group whose characteristics are used to define the next higher taxon,all of the tokens of the same symbol,all of the tokens of the same symbol,1.0
n,type.n.4,type.n.5,type.n.4,type.n.5,05112836-n,03556673-n,printed characters,printed characters,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,a small block of metal bearing a raised character on one end; produces a printed character when inked and pressed on paper,1.0
n,type.n.4,type.n.1,type.n.4,type.n.1,05112836-n,04497251-n,printed characters,printed characters,a subdivision of a particular kind of thing,a subdivision of a particular kind of thing,1.0
n,type.n.4,type.n.6,type.n.4,type.n.6,05112836-n,05090011-n,printed characters,printed characters,all of the tokens of the same symbol,all of the tokens of the same symbol,1.0
n,type.n.5,type.n.1,type.n.5,type.n.1,03556673-n,04497251-n,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,a small block of metal bearing a raised character on one end; produces a printed character when inked and pressed on paper,a subdivision of a particular kind of thing,a subdivision of a particular kind of thing,1.0
n,type.n.5,type.n.6,type.n.5,type.n.6,03556673-n,05090011-n,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,a small block of metal bearing a raised character on one end; produces a printed character when inked and pressed on paper,all of the tokens of the same symbol,all of the tokens of the same symbol,1.0
n,type.n.1,type.n.6,type.n.1,type.n.6,04497251-n,05090011-n,a subdivision of a particular kind of thing,a subdivision of a particular kind of thing,all of the tokens of the same symbol,all of the tokens of the same symbol,1.0
v,compile.v.3,compile.v.1,compile.v.3,collect.v.1,01118553-v,01576236-v,use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,get or gather together,get together,1.0
v,compile.v.3,compile.v.2,compile.v.3,compose.v.4,01118553-v,01117894-v,use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,put together out of existing material,put together out of existing material,1.0
v,compile.v.1,compile.v.2,collect.v.1,compose.v.4,01576236-v,01117894-v,get or gather together,get together,put together out of existing material,put together out of existing material,1.0
n,chamber.n.2,chamber.n.1,chamber.n.2,chamber.n.1,04191627-n,02420001-n,an enclosed volume in the body,an enclosed volume (as the aqueous chamber of the eyeball or the chambers of the heart),a natural or artificial enclosed space,a natural or artificial enclosed space,1.0
n,chamber.n.2,chamber.n.5,chamber.n.2,bedroom.n.1,04191627-n,02275625-n,an enclosed volume in the body,an enclosed volume (as the aqueous chamber of the eyeball or the chambers of the heart),a room used primarily for sleeping,a room used primarily for sleeping,1.0
n,chamber.n.2,chamber.n.3,chamber.n.2,chamber.n.3,04191627-n,02420363-n,an enclosed volume in the body,an enclosed volume (as the aqueous chamber of the eyeball or the chambers of the heart),a room where a judge transacts business,a room where a judge transacts business,1.0
n,chamber.n.2,chamber.n.4,chamber.n.2,chamber.n.4,04191627-n,06169255-n,an enclosed volume in the body,an enclosed volume (as the aqueous chamber of the eyeball or the chambers of the heart),a deliberative or legislative or administrative or judicial assembly,a deliberative or legislative or administrative or judicial assembly,1.0
n,chamber.n.1,chamber.n.5,chamber.n.1,bedroom.n.1,02420001-n,02275625-n,a natural or artificial enclosed space,a natural or artificial enclosed space,a room used primarily for sleeping,a room used primarily for sleeping,1.0
n,chamber.n.1,chamber.n.3,chamber.n.1,chamber.n.3,02420001-n,02420363-n,a natural or artificial enclosed space,a natural or artificial enclosed space,a room where a judge transacts business,a room where a judge transacts business,1.0
n,chamber.n.1,chamber.n.4,chamber.n.1,chamber.n.4,02420001-n,06169255-n,a natural or artificial enclosed space,a natural or artificial enclosed space,a deliberative or legislative or administrative or judicial assembly,a deliberative or legislative or administrative or judicial assembly,1.0
n,chamber.n.5,chamber.n.3,bedroom.n.1,chamber.n.3,02275625-n,02420363-n,a room used primarily for sleeping,a room used primarily for sleeping,a room where a judge transacts business,a room where a judge transacts business,1.0
