Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,serve%2:42:00::,serve.v.09,serve.v.10,serve%2:41:01::,serve#v#09,serve#v#10,02685198-v,02516434-v,,spend time in prison or in a labor camp,,work for or be a servant to,not-merged,serve#v#09-serve#v#10
v,serve%2:42:00::,serve.v.09,serve.v.01,serve%2:42:03::,serve#v#09,serve#v#01,02685198-v,02645182-v,,spend time in prison or in a labor camp,,"serve a purpose, role, or function",not-merged,serve#v#09-serve#v#01
v,serve%2:42:00::,serve.v.09,serve.v.02,serve%2:33:00::,serve#v#09,serve#v#02,02685198-v,01084504-v,,spend time in prison or in a labor camp,,do duty or hold offices; serve in a specific function,not-merged,serve#v#09-serve#v#02
v,serve%2:42:00::,serve.v.09,serve.v.03,serve%2:42:01::,serve#v#09,serve#v#03,02685198-v,02644690-v,,spend time in prison or in a labor camp,,contribute or conduce to,not-merged,serve#v#09-serve#v#03
v,serve%2:41:01::,serve.v.10,serve.v.01,serve%2:42:03::,serve#v#10,serve#v#01,02516434-v,02645182-v,,work for or be a servant to,,"serve a purpose, role, or function",not-merged,serve#v#10-serve#v#01
v,serve%2:41:01::,serve.v.10,serve.v.02,serve%2:33:00::,serve#v#10,serve#v#02,02516434-v,01084504-v,,work for or be a servant to,,do duty or hold offices; serve in a specific function,not-merged,serve#v#10-serve#v#02
v,serve%2:41:01::,serve.v.10,serve.v.03,serve%2:42:01::,serve#v#10,serve#v#03,02516434-v,02644690-v,,work for or be a servant to,,contribute or conduce to,not-merged,serve#v#10-serve#v#03
v,serve%2:42:03::,serve.v.01,serve.v.02,serve%2:33:00::,serve#v#01,serve#v#02,02645182-v,01084504-v,,"serve a purpose, role, or function",,do duty or hold offices; serve in a specific function,not-merged,serve#v#01-serve#v#02
v,serve%2:42:03::,serve.v.01,serve.v.03,serve%2:42:01::,serve#v#01,serve#v#03,02645182-v,02644690-v,,"serve a purpose, role, or function",,contribute or conduce to,not-merged,serve#v#01-serve#v#03
v,serve%2:33:00::,serve.v.02,serve.v.03,serve%2:42:01::,serve#v#02,serve#v#03,01084504-v,02644690-v,,do duty or hold offices; serve in a specific function,,contribute or conduce to,not-merged,serve#v#02-serve#v#03
n,nature%1:09:00::,nature.n.05,nature.n.03,nature%1:17:00::,nature#n#05,nature#n#03,05767453-n,09232329-n,,a particular type of thing,,the natural physical world including plants and animals and landscapes etc.,not-merged,nature#n#05-nature#n#03
n,nature%1:09:00::,nature.n.05,nature.n.01,nature%1:07:02::,nature#n#05,nature#n#01,05767453-n,04671339-n,,a particular type of thing,,the essential qualities or characteristics by which something is recognized,merged,nature#n#05-nature#n#01
n,nature%1:09:00::,nature.n.05,nature.n.02,nature%1:18:00::,nature#n#05,nature#n#02,05767453-n,09366969-n,,a particular type of thing,,a causal agent creating and controlling things in the universe,not-merged,nature#n#05-nature#n#02
n,nature%1:09:00::,nature.n.05,nature.n.04,nature%1:07:01::,nature#n#05,nature#n#04,05767453-n,04568252-n,,a particular type of thing,,the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions,merged,nature#n#05-nature#n#04
n,nature%1:17:00::,nature.n.03,nature.n.01,nature%1:07:02::,nature#n#03,nature#n#01,09232329-n,04671339-n,,the natural physical world including plants and animals and landscapes etc.,,the essential qualities or characteristics by which something is recognized,not-merged,nature#n#03-nature#n#01
n,nature%1:17:00::,nature.n.03,nature.n.02,nature%1:18:00::,nature#n#03,nature#n#02,09232329-n,09366969-n,,the natural physical world including plants and animals and landscapes etc.,,a causal agent creating and controlling things in the universe,merged,nature#n#03-nature#n#02
n,nature%1:17:00::,nature.n.03,nature.n.04,nature%1:07:01::,nature#n#03,nature#n#04,09232329-n,04568252-n,,the natural physical world including plants and animals and landscapes etc.,,the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions,not-merged,nature#n#03-nature#n#04
n,nature%1:07:02::,nature.n.01,nature.n.02,nature%1:18:00::,nature#n#01,nature#n#02,04671339-n,09366969-n,,the essential qualities or characteristics by which something is recognized,,a causal agent creating and controlling things in the universe,not-merged,nature#n#01-nature#n#02
n,nature%1:07:02::,nature.n.01,nature.n.04,nature%1:07:01::,nature#n#01,nature#n#04,04671339-n,04568252-n,,the essential qualities or characteristics by which something is recognized,,the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions,merged,nature#n#01-nature#n#04
n,nature%1:18:00::,nature.n.02,nature.n.04,nature%1:07:01::,nature#n#02,nature#n#04,09366969-n,04568252-n,,a causal agent creating and controlling things in the universe,,the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions,not-merged,nature#n#02-nature#n#04
n,art%1:06:00::,art.n.01,art.n.02,art%1:04:00::,art#n#01,art#n#02,02718021-n,00919735-n,,the products of human creativity; works of art collectively,,the creation of beautiful or significant things,merged,art#n#01-art#n#02
n,art%1:06:00::,art.n.01,art.n.03,art%1:09:00::,art#n#01,art#n#03,02718021-n,05569358-n,,the products of human creativity; works of art collectively,,a superior skill that you can learn by study and practice and observation,merged,art#n#01-art#n#03
n,art%1:04:00::,art.n.02,art.n.03,art%1:09:00::,art#n#02,art#n#03,00919735-n,05569358-n,,the creation of beautiful or significant things,,a superior skill that you can learn by study and practice and observation,merged,art#n#02-art#n#03
v,use%2:41:03::,use.v.06,use.v.01,use%2:34:01::,use#v#06,use#v#01,02347413-v,01147708-v,,habitually do something (use only in the past tense),,put into service; make work or employ           (something) for a particular purpose or for its inherent or natural purpose,not-merged,use#v#06-use#v#01
v,use%2:41:03::,use.v.06,use.v.04,use%2:34:00::,use#v#06,use#v#04,02347413-v,01147408-v,,habitually do something (use only in the past tense),,"use up, consume fully",not-merged,use#v#06-use#v#04
v,use%2:41:03::,use.v.06,use.v.02,use%2:34:02::,use#v#06,use#v#02,02347413-v,01153919-v,,habitually do something (use only in the past tense),,take or consume (regularly or habitually),not-merged,use#v#06-use#v#02
v,use%2:41:03::,use.v.06,use.v.03,use%2:41:14::,use#v#06,use#v#03,02347413-v,02575910-v,,habitually do something (use only in the past tense),,seek or achieve an end by using to one's advantage,not-merged,use#v#06-use#v#03
v,use%2:34:01::,use.v.01,use.v.04,use%2:34:00::,use#v#01,use#v#04,01147708-v,01147408-v,,put into service; make work or employ           (something) for a particular purpose or for its inherent or natural purpose,,"use up, consume fully",merged,use#v#01-use#v#04
v,use%2:34:01::,use.v.01,use.v.02,use%2:34:02::,use#v#01,use#v#02,01147708-v,01153919-v,,put into service; make work or employ           (something) for a particular purpose or for its inherent or natural purpose,,take or consume (regularly or habitually),not-merged,use#v#01-use#v#02
v,use%2:34:01::,use.v.01,use.v.03,use%2:41:14::,use#v#01,use#v#03,01147708-v,02575910-v,,put into service; make work or employ           (something) for a particular purpose or for its inherent or natural purpose,,seek or achieve an end by using to one's advantage,not-merged,use#v#01-use#v#03
v,use%2:34:00::,use.v.04,use.v.02,use%2:34:02::,use#v#04,use#v#02,01147408-v,01153919-v,,"use up, consume fully",,take or consume (regularly or habitually),not-merged,use#v#04-use#v#02
v,use%2:34:00::,use.v.04,use.v.03,use%2:41:14::,use#v#04,use#v#03,01147408-v,02575910-v,,"use up, consume fully",,seek or achieve an end by using to one's advantage,not-merged,use#v#04-use#v#03
v,use%2:34:02::,use.v.02,use.v.03,use%2:41:14::,use#v#02,use#v#03,01153919-v,02575910-v,,take or consume (regularly or habitually),,seek or achieve an end by using to one's advantage,not-merged,use#v#02-use#v#03
v,live%2:42:07::,live.v.07,live.v.02,live%2:42:06::,live#v#07,live#v#02,02589864-v,02589281-v,,pursue a positive and satisfying existence,,lead a certain kind of life; live in a certain style,not-merged,live#v#07-live#v#02
v,conduct%2:41:00::,conduct.v.01,conduct.v.04,conduct%2:38:00::,conduct#v#01,conduct#v#04,02421850-v,02061379-v,,direct the course of; manage or control,,transmit or serve as the medium for transmission,not-merged,conduct#v#01-conduct#v#04
a,cool%3:00:01::,cool.a.01,cool.a.04,cool%3:00:02::,cool#a#01,cool#a#04,02613006-a,02614539-a,,neither warm nor very cold; giving relief from heat,,psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike,not-merged,cool#a#01-cool#a#04
a,cool%3:00:01::,cool.a.01,cool.a.03,cool%3:00:03::,cool#a#01,cool#a#03,02613006-a,02615317-a,,neither warm nor very cold; giving relief from heat,,(color) inducing the impression of coolness; used especially of greens and blues and violets,not-merged,cool#a#01-cool#a#03
a,cool%3:00:02::,cool.a.04,cool.a.03,cool%3:00:03::,cool#a#04,cool#a#03,02614539-a,02615317-a,,psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike,,(color) inducing the impression of coolness; used especially of greens and blues and violets,not-merged,cool#a#04-cool#a#03
v,dress_up%2:29:00::,dress_up.v.01,dress_up.v.02,dress_up%2:30:00::,dress_up#v#01,dress_up#v#02,00043648-v,00290042-v,,put on special clothes to appear particularly appealing and attractive,,make something appear superficially attractive,not-merged,dress_up#v#01-dress_up#v#02
v,equal%2:42:01::,equal.v.02,equal.v.03,equal%2:30:00::,equal#v#02,equal#v#03,02646481-v,00412718-v,,be equal to in quality or ability,,"make equal, uniform, corresponding, or matching",not-merged,equal#v#02-equal#v#03
n,yew%1:20:00::,yew.n.02,yew.n.01,yew%1:20:02::,yew#n#02,yew#n#01,11494401-n,11494736-n,,any of numerous evergreen trees or shrubs having red cup-shaped berries and flattened needlelike leaves,,wood of a yew; especially the durable fine-grained light brown or red wood of the English yew valued for cabinetwork and archery bows,not-merged,yew#n#02-yew#n#01
n,stress%1:19:00::,stress.n.03,stress.n.05,stress%1:26:02::,stress#n#03,stress#n#05,11348616-n,14218562-n,,(physics) force that produces strain on a physical body,,difficulty that causes worry or emotional tension; ; - R.J.Samuelson,not-merged,stress#n#03-stress#n#05
n,stress%1:19:00::,stress.n.03,stress.n.04,stress%1:26:03::,stress#n#03,stress#n#04,11348616-n,14243437-n,,(physics) force that produces strain on a physical body,,special emphasis attached to something,not-merged,stress#n#03-stress#n#04
n,stress%1:19:00::,stress.n.03,stress.n.01,stress%1:10:01::,stress#n#03,stress#n#01,11348616-n,06988062-n,,(physics) force that produces strain on a physical body,,the relative prominence of a syllable or musical note (especially with regard to stress or pitch),not-merged,stress#n#03-stress#n#01
n,stress%1:26:02::,stress.n.05,stress.n.04,stress%1:26:03::,stress#n#05,stress#n#04,14218562-n,14243437-n,,difficulty that causes worry or emotional tension; ; - R.J.Samuelson,,special emphasis attached to something,not-merged,stress#n#05-stress#n#04
n,stress%1:26:02::,stress.n.05,stress.n.01,stress%1:10:01::,stress#n#05,stress#n#01,14218562-n,06988062-n,,difficulty that causes worry or emotional tension; ; - R.J.Samuelson,,the relative prominence of a syllable or musical note (especially with regard to stress or pitch),not-merged,stress#n#05-stress#n#01
n,stress%1:26:03::,stress.n.04,stress.n.01,stress%1:10:01::,stress#n#04,stress#n#01,14243437-n,06988062-n,,special emphasis attached to something,,the relative prominence of a syllable or musical note (especially with regard to stress or pitch),not-merged,stress#n#04-stress#n#01
v,strike%2:35:00::,strike.v.02,strike.v.05,strike%2:32:00::,strike#v#02,strike#v#05,01398039-v,00914292-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,indicate (a certain time) by striking,not-merged,strike#v#02-strike#v#05
v,strike%2:35:00::,strike.v.02,strike.v.04,strike%2:33:00::,strike#v#02,strike#v#04,01398039-v,01113123-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,"make a strategic, offensive, assault against an enemy, opponent, or a target",not-merged,strike#v#02-strike#v#04
v,strike%2:35:00::,strike.v.02,strike.v.10,strike%2:35:03::,strike#v#02,strike#v#10,01398039-v,01198106-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,"produce by manipulating keys or strings of musical instruments, also metaphorically",not-merged,strike#v#02-strike#v#10
v,strike%2:35:00::,strike.v.02,strike.v.11,strike%2:30:00::,strike#v#02,strike#v#11,01398039-v,00141126-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,cause to form (an electric arc) between electrodes of an arc lamp,not-merged,strike#v#02-strike#v#11
v,strike%2:35:00::,strike.v.02,strike.v.20,strike%2:31:00::,strike#v#02,strike#v#21,01398039-v,00628466-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,"arrive at after reckoning, deliberating, and weighing",not-merged,strike#v#02-strike#v#21
v,strike%2:35:00::,strike.v.02,strike.v.07,strike%2:41:00::,strike#v#02,strike#v#07,01398039-v,02389007-v,,"deliver a sharp blow, as with the hand, fist, or weapon",,stop work in order to press demands,not-merged,strike#v#02-strike#v#07
v,strike%2:32:00::,strike.v.05,strike.v.04,strike%2:33:00::,strike#v#05,strike#v#04,00914292-v,01113123-v,,indicate (a certain time) by striking,,"make a strategic, offensive, assault against an enemy, opponent, or a target",not-merged,strike#v#05-strike#v#04
v,strike%2:32:00::,strike.v.05,strike.v.10,strike%2:35:03::,strike#v#05,strike#v#10,00914292-v,01198106-v,,indicate (a certain time) by striking,,"produce by manipulating keys or strings of musical instruments, also metaphorically",not-merged,strike#v#05-strike#v#10
v,strike%2:32:00::,strike.v.05,strike.v.11,strike%2:30:00::,strike#v#05,strike#v#11,00914292-v,00141126-v,,indicate (a certain time) by striking,,cause to form (an electric arc) between electrodes of an arc lamp,not-merged,strike#v#05-strike#v#11
v,strike%2:32:00::,strike.v.05,strike.v.20,strike%2:31:00::,strike#v#05,strike#v#21,00914292-v,00628466-v,,indicate (a certain time) by striking,,"arrive at after reckoning, deliberating, and weighing",not-merged,strike#v#05-strike#v#21
v,strike%2:32:00::,strike.v.05,strike.v.07,strike%2:41:00::,strike#v#05,strike#v#07,00914292-v,02389007-v,,indicate (a certain time) by striking,,stop work in order to press demands,not-merged,strike#v#05-strike#v#07
v,strike%2:33:00::,strike.v.04,strike.v.10,strike%2:35:03::,strike#v#04,strike#v#10,01113123-v,01198106-v,,"make a strategic, offensive, assault against an enemy, opponent, or a target",,"produce by manipulating keys or strings of musical instruments, also metaphorically",not-merged,strike#v#04-strike#v#10
v,strike%2:33:00::,strike.v.04,strike.v.11,strike%2:30:00::,strike#v#04,strike#v#11,01113123-v,00141126-v,,"make a strategic, offensive, assault against an enemy, opponent, or a target",,cause to form (an electric arc) between electrodes of an arc lamp,not-merged,strike#v#04-strike#v#11
v,strike%2:33:00::,strike.v.04,strike.v.20,strike%2:31:00::,strike#v#04,strike#v#21,01113123-v,00628466-v,,"make a strategic, offensive, assault against an enemy, opponent, or a target",,"arrive at after reckoning, deliberating, and weighing",not-merged,strike#v#04-strike#v#21
v,strike%2:33:00::,strike.v.04,strike.v.07,strike%2:41:00::,strike#v#04,strike#v#07,01113123-v,02389007-v,,"make a strategic, offensive, assault against an enemy, opponent, or a target",,stop work in order to press demands,not-merged,strike#v#04-strike#v#07
v,strike%2:35:03::,strike.v.10,strike.v.11,strike%2:30:00::,strike#v#10,strike#v#11,01198106-v,00141126-v,,"produce by manipulating keys or strings of musical instruments, also metaphorically",,cause to form (an electric arc) between electrodes of an arc lamp,not-merged,strike#v#10-strike#v#11
v,strike%2:35:03::,strike.v.10,strike.v.20,strike%2:31:00::,strike#v#10,strike#v#21,01198106-v,00628466-v,,"produce by manipulating keys or strings of musical instruments, also metaphorically",,"arrive at after reckoning, deliberating, and weighing",not-merged,strike#v#10-strike#v#21
v,strike%2:35:03::,strike.v.10,strike.v.07,strike%2:41:00::,strike#v#10,strike#v#07,01198106-v,02389007-v,,"produce by manipulating keys or strings of musical instruments, also metaphorically",,stop work in order to press demands,not-merged,strike#v#10-strike#v#07
v,strike%2:30:00::,strike.v.11,strike.v.20,strike%2:31:00::,strike#v#11,strike#v#21,00141126-v,00628466-v,,cause to form (an electric arc) between electrodes of an arc lamp,,"arrive at after reckoning, deliberating, and weighing",not-merged,strike#v#11-strike#v#21
v,strike%2:30:00::,strike.v.11,strike.v.07,strike%2:41:00::,strike#v#11,strike#v#07,00141126-v,02389007-v,,cause to form (an electric arc) between electrodes of an arc lamp,,stop work in order to press demands,not-merged,strike#v#11-strike#v#07
v,strike%2:31:00::,strike.v.20,strike.v.07,strike%2:41:00::,strike#v#21,strike#v#07,00628466-v,02389007-v,,"arrive at after reckoning, deliberating, and weighing",,stop work in order to press demands,not-merged,strike#v#21-strike#v#07
s,blind%5:00:00:unperceptive:00,blind.s.02,blind.s.03,blind%5:00:00:irrational:00,blind#s#02,blind#s#03,01809335-s,01996712-s,,unable or unwilling to perceive or understand,,not based on reason or evidence,merged,blind#s#02-blind#s#03
v,act%2:36:00::,act.v.03,act.v.10,act%2:36:03::,act#v#03,act#v#10,01704085-v,01704704-v,,play a role or part,,perform on a stage or theater,not-merged,act#v#03-act#v#10
v,act%2:36:00::,act.v.03,act.v.05,act%2:29:01::,act#v#03,act#v#05,01704085-v,00013635-v,,play a role or part,,pretend to have certain qualities or state of mind,not-merged,act#v#03-act#v#05
v,act%2:36:03::,act.v.10,act.v.05,act%2:29:01::,act#v#10,act#v#05,01704704-v,00013635-v,,perform on a stage or theater,,pretend to have certain qualities or state of mind,not-merged,act#v#10-act#v#05
v,drive%2:38:02::,drive.v.03,drive.v.13,drive%2:41:13::,drive#v#03,drive#v#13,02038652-v,02384715-v,,cause someone or something to move by driving,,work as a driver,not-merged,drive#v#03-drive#v#13
v,drive%2:38:02::,drive.v.03,drive.v.08,drive%2:35:07::,drive#v#03,drive#v#08,02038652-v,01499346-v,,cause someone or something to move by driving,,"push, propel, or press with force",not-merged,drive#v#03-drive#v#08
v,drive%2:38:02::,drive.v.03,drive.v.07,drive%2:36:00::,drive#v#03,drive#v#07,02038652-v,01631534-v,,cause someone or something to move by driving,,"compel somebody to do something, often against his own will or judgment",not-merged,drive#v#03-drive#v#07
v,drive%2:38:02::,drive.v.03,drive.v.02,drive%2:38:00::,drive#v#03,drive#v#02,02038652-v,01912201-v,,cause someone or something to move by driving,,travel or be transported in a vehicle,not-merged,drive#v#03-drive#v#02
v,drive%2:38:02::,drive.v.03,drive.v.05,drive%2:41:02::,drive#v#03,drive#v#05,02038652-v,02481215-v,,cause someone or something to move by driving,,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",not-merged,drive#v#03-drive#v#05
v,drive%2:38:02::,drive.v.03,drive.v.01,drive%2:38:01::,drive#v#03,drive#v#01,02038652-v,01912958-v,,cause someone or something to move by driving,,operate or control a vehicle,not-merged,drive#v#03-drive#v#01
v,drive%2:41:13::,drive.v.13,drive.v.08,drive%2:35:07::,drive#v#13,drive#v#08,02384715-v,01499346-v,,work as a driver,,"push, propel, or press with force",not-merged,drive#v#13-drive#v#08
v,drive%2:41:13::,drive.v.13,drive.v.07,drive%2:36:00::,drive#v#13,drive#v#07,02384715-v,01631534-v,,work as a driver,,"compel somebody to do something, often against his own will or judgment",not-merged,drive#v#13-drive#v#07
v,drive%2:41:13::,drive.v.13,drive.v.02,drive%2:38:00::,drive#v#13,drive#v#02,02384715-v,01912201-v,,work as a driver,,travel or be transported in a vehicle,not-merged,drive#v#13-drive#v#02
v,drive%2:41:13::,drive.v.13,drive.v.05,drive%2:41:02::,drive#v#13,drive#v#05,02384715-v,02481215-v,,work as a driver,,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",not-merged,drive#v#13-drive#v#05
v,drive%2:41:13::,drive.v.13,drive.v.01,drive%2:38:01::,drive#v#13,drive#v#01,02384715-v,01912958-v,,work as a driver,,operate or control a vehicle,not-merged,drive#v#13-drive#v#01
v,drive%2:35:07::,drive.v.08,drive.v.07,drive%2:36:00::,drive#v#08,drive#v#07,01499346-v,01631534-v,,"push, propel, or press with force",,"compel somebody to do something, often against his own will or judgment",not-merged,drive#v#08-drive#v#07
v,drive%2:35:07::,drive.v.08,drive.v.02,drive%2:38:00::,drive#v#08,drive#v#02,01499346-v,01912201-v,,"push, propel, or press with force",,travel or be transported in a vehicle,not-merged,drive#v#08-drive#v#02
v,drive%2:35:07::,drive.v.08,drive.v.05,drive%2:41:02::,drive#v#08,drive#v#05,01499346-v,02481215-v,,"push, propel, or press with force",,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",not-merged,drive#v#08-drive#v#05
v,drive%2:35:07::,drive.v.08,drive.v.01,drive%2:38:01::,drive#v#08,drive#v#01,01499346-v,01912958-v,,"push, propel, or press with force",,operate or control a vehicle,not-merged,drive#v#08-drive#v#01
v,drive%2:36:00::,drive.v.07,drive.v.02,drive%2:38:00::,drive#v#07,drive#v#02,01631534-v,01912201-v,,"compel somebody to do something, often against his own will or judgment",,travel or be transported in a vehicle,not-merged,drive#v#07-drive#v#02
v,drive%2:36:00::,drive.v.07,drive.v.05,drive%2:41:02::,drive#v#07,drive#v#05,01631534-v,02481215-v,,"compel somebody to do something, often against his own will or judgment",,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",not-merged,drive#v#07-drive#v#05
v,drive%2:36:00::,drive.v.07,drive.v.01,drive%2:38:01::,drive#v#07,drive#v#01,01631534-v,01912958-v,,"compel somebody to do something, often against his own will or judgment",,operate or control a vehicle,not-merged,drive#v#07-drive#v#01
v,drive%2:38:00::,drive.v.02,drive.v.05,drive%2:41:02::,drive#v#02,drive#v#05,01912201-v,02481215-v,,travel or be transported in a vehicle,,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",not-merged,drive#v#02-drive#v#05
v,drive%2:38:00::,drive.v.02,drive.v.01,drive%2:38:01::,drive#v#02,drive#v#01,01912201-v,01912958-v,,travel or be transported in a vehicle,,operate or control a vehicle,not-merged,drive#v#02-drive#v#01
v,drive%2:41:02::,drive.v.05,drive.v.01,drive%2:38:01::,drive#v#05,drive#v#01,02481215-v,01912958-v,,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",,operate or control a vehicle,not-merged,drive#v#05-drive#v#01
n,spade%1:06:00::,spade.n.02,spade.n.01,spade%1:06:01::,spade#n#02,spade#n#01,04215937-n,04216111-n,,a sturdy hand shovel that can be pushed into the earth with the foot,,a playing card in the major suit that has one or more black figures on it,not-merged,spade#n#02-spade#n#01
n,restraint%1:07:00::,restraint.n.02,restraint.n.04,restraint%1:09:00::,restraint#n#02,restraint#n#04,04827724-n,06165734-n,,discipline in personal and social activities,,a rule or condition that limits freedom,not-merged,restraint#n#02-restraint#n#04
n,restraint%1:07:00::,restraint.n.02,restraint.n.01,restraint%1:04:00::,restraint#n#02,restraint#n#01,04827724-n,01130360-n,,discipline in personal and social activities,,the of act controlling by restraining someone or something,merged,restraint#n#02-restraint#n#01
n,restraint%1:07:00::,restraint.n.02,restraint.n.06,restraint%1:06:00::,restraint#n#02,restraint#n#06,04827724-n,04035951-n,,discipline in personal and social activities,,a device that retards something's motion,not-merged,restraint#n#02-restraint#n#06
n,restraint%1:09:00::,restraint.n.04,restraint.n.01,restraint%1:04:00::,restraint#n#04,restraint#n#01,06165734-n,01130360-n,,a rule or condition that limits freedom,,the of act controlling by restraining someone or something,not-merged,restraint#n#04-restraint#n#01
n,restraint%1:09:00::,restraint.n.04,restraint.n.06,restraint%1:06:00::,restraint#n#04,restraint#n#06,06165734-n,04035951-n,,a rule or condition that limits freedom,,a device that retards something's motion,merged,restraint#n#04-restraint#n#06
n,restraint%1:04:00::,restraint.n.01,restraint.n.06,restraint%1:06:00::,restraint#n#01,restraint#n#06,01130360-n,04035951-n,,the of act controlling by restraining someone or something,,a device that retards something's motion,not-merged,restraint#n#01-restraint#n#06
v,play_out%2:33:00::,play_out.v.03,play_out.v.02,play_out%2:36:00::,play_out#v#03,play_out#v#02,01070935-v,01700048-v,,play to a finish,,perform or be performed to the end,not-merged,play_out#v#03-play_out#v#02
v,play_out%2:33:00::,play_out.v.03,play_out.v.04,play_out%2:30:00::,play_out#v#03,play_out#v#04,01070935-v,00567375-v,,play to a finish,,become spent or exhausted,not-merged,play_out#v#03-play_out#v#04
v,play_out%2:36:00::,play_out.v.02,play_out.v.04,play_out%2:30:00::,play_out#v#02,play_out#v#04,01700048-v,00567375-v,,perform or be performed to the end,,become spent or exhausted,not-merged,play_out#v#02-play_out#v#04
n,child%1:18:00::,child.n.01,child.n.02,child%1:18:01::,child#n#01,child#n#02,09771320-n,09771976-n,,a young person of either sex,,a human offspring (son or daughter) of any age,merged,child#n#01-child#n#02
n,child%1:18:00::,child.n.01,child.n.03,child%1:18:06::,child#n#01,child#n#03,09771320-n,09772282-n,,a young person of either sex,,an immature childish person,not-merged,child#n#01-child#n#03
n,child%1:18:00::,child.n.01,child.n.04,child%1:18:07::,child#n#01,child#n#04,09771320-n,09772490-n,,a young person of either sex,,a member of a clan or tribe,not-merged,child#n#01-child#n#04
n,child%1:18:01::,child.n.02,child.n.03,child%1:18:06::,child#n#02,child#n#03,09771976-n,09772282-n,,a human offspring (son or daughter) of any age,,an immature childish person,not-merged,child#n#02-child#n#03
n,child%1:18:01::,child.n.02,child.n.04,child%1:18:07::,child#n#02,child#n#04,09771976-n,09772490-n,,a human offspring (son or daughter) of any age,,a member of a clan or tribe,not-merged,child#n#02-child#n#04
n,child%1:18:06::,child.n.03,child.n.04,child%1:18:07::,child#n#03,child#n#04,09772282-n,09772490-n,,an immature childish person,,a member of a clan or tribe,not-merged,child#n#03-child#n#04
v,match%2:35:08::,match.v.03,match.v.01,match%2:42:00::,match#v#03,match#v#01,01281300-v,02631896-v,,"bring two objects, ideas, or people together",,"be compatible, similar or consistent; coincide in their characteristics",not-merged,match#v#03-match#v#01
v,match%2:35:08::,match.v.03,match.v.08,match%2:30:00::,match#v#03,match#v#09,01281300-v,00451667-v,,"bring two objects, ideas, or people together",,be equal or harmonize,not-merged,match#v#03-match#v#09
v,match%2:35:08::,match.v.03,match.v.05,match%2:30:01::,match#v#03,match#v#05,01281300-v,00451811-v,,"bring two objects, ideas, or people together",,make correspond or harmonize,merged,match#v#03-match#v#05
v,match%2:35:08::,match.v.03,match.v.02,match%2:40:00::,match#v#03,match#v#02,01281300-v,02310388-v,,"bring two objects, ideas, or people together",,provide funds complementary to,not-merged,match#v#03-match#v#02
v,match%2:42:00::,match.v.01,match.v.08,match%2:30:00::,match#v#01,match#v#09,02631896-v,00451667-v,,"be compatible, similar or consistent; coincide in their characteristics",,be equal or harmonize,not-merged,match#v#01-match#v#09
v,match%2:42:00::,match.v.01,match.v.05,match%2:30:01::,match#v#01,match#v#05,02631896-v,00451811-v,,"be compatible, similar or consistent; coincide in their characteristics",,make correspond or harmonize,not-merged,match#v#01-match#v#05
v,match%2:42:00::,match.v.01,match.v.02,match%2:40:00::,match#v#01,match#v#02,02631896-v,02310388-v,,"be compatible, similar or consistent; coincide in their characteristics",,provide funds complementary to,not-merged,match#v#01-match#v#02
v,match%2:30:00::,match.v.08,match.v.05,match%2:30:01::,match#v#09,match#v#05,00451667-v,00451811-v,,be equal or harmonize,,make correspond or harmonize,not-merged,match#v#09-match#v#05
v,match%2:30:00::,match.v.08,match.v.02,match%2:40:00::,match#v#09,match#v#02,00451667-v,02310388-v,,be equal or harmonize,,provide funds complementary to,not-merged,match#v#09-match#v#02
v,match%2:30:01::,match.v.05,match.v.02,match%2:40:00::,match#v#05,match#v#02,00451811-v,02310388-v,,make correspond or harmonize,,provide funds complementary to,not-merged,match#v#05-match#v#02
n,detention%1:26:00::,detention.n.01,detention.n.02,detention%1:04:00::,detention#n#01,detention#n#02,13813561-n,01146552-n,,a state of being confined (usually for a short time),,a punishment in which a student must stay at school after others have gone home,not-merged,detention#n#01-detention#n#02
v,develop%2:36:09::,develop.v.13,develop.v.06,develop%2:30:04::,develop#v#13,build_up#v#05,01613465-v,00169066-v,,generate gradually,,change the use of and make available or usable,not-merged,develop#v#13-build_up#v#05
